Images,first_air_date,Genres,TV Show Choice,TV Show Link,TMDB ID,in_production,last_air_date,Title,next_episode_to_air,number_of_episodes,number_of_seasons,original_language,original_name,overview,popularity,Season 1 name,Season 1 image,Season 1 description,Season 1 position,Season 1 number,Season 1 IMDB ID,Season 1 TMDB ID,Season 1 year,Season 2 name,Season 2 image,Season 2 description,Season 2 position,Season 2 number,Season 2 IMDB ID,Season 2 TMDB ID,Season 2 year,Season 3 name,Season 3 image,Season 3 description,Season 3 position,Season 3 number,Season 3 IMDB ID,Season 3 TMDB ID,Season 3 year,tv_show_status,tv_show_type,vote_average,vote_count,Cast 1 Person IMDB ID,Cast 1 Person TMDB ID,Cast 1 Person Name,Cast 1 Person Images,Cast 1 Person Category,Cast 1 Person Character,Cast 1 Position,Cast 2 Person IMDB ID,Cast 2 Person TMDB ID,Cast 2 Person Name,Cast 2 Person Images,Cast 2 Person Category,Cast 2 Person Character,Cast 2 Position,Cast 3 Person IMDB ID,Cast 3 Person TMDB ID,Cast 3 Person Name,Cast 3 Person Images,Cast 3 Person Category,Cast 3 Person Character,Cast 3 Position,Cast 4 Person IMDB ID,Cast 4 Person TMDB ID,Cast 4 Person Name,Cast 4 Person Images,Cast 4 Person Category,Cast 4 Person Character,Cast 4 Position,Cast 5 Person IMDB ID,Cast 5 Person TMDB ID,Cast 5 Person Name,Cast 5 Person Images,Cast 5 Person Category,Cast 5 Person Character,Cast 5 Position,Cast 6 Person IMDB ID,Cast 6 Person TMDB ID,Cast 6 Person Name,Cast 6 Person Images,Cast 6 Person Category,Cast 6 Person Character,Cast 6 Position,Cast 7 Person IMDB ID,Cast 7 Person TMDB ID,Cast 7 Person Name,Cast 7 Person Images,Cast 7 Person Category,Cast 7 Person Character,Cast 7 Position,Cast 8 Person IMDB ID,Cast 8 Person TMDB ID,Cast 8 Person Name,Cast 8 Person Images,Cast 8 Person Category,Cast 8 Person Character,Cast 8 Position,Cast 9 Person IMDB ID,Cast 9 Person TMDB ID,Cast 9 Person Name,Cast 9 Person Images,Cast 9 Person Category,Cast 9 Person Character,Cast 9 Position,Cast 10 Person IMDB ID,Cast 10 Person TMDB ID,Cast 10 Person Name,Cast 10 Person Images,Cast 10 Person Category,Cast 10 Person Character,Cast 10 Position,Cast 11 Person IMDB ID,Cast 11 Person TMDB ID,Cast 11 Person Name,Cast 11 Person Images,Cast 11 Person Category,Cast 11 Person Character,Cast 11 Position,Cast 12 Person IMDB ID,Cast 12 Person TMDB ID,Cast 12 Person Name,Cast 12 Person Images,Cast 12 Person Category,Cast 12 Person Character,Cast 12 Position,Cast 13 Person IMDB ID,Cast 13 Person TMDB ID,Cast 13 Person Name,Cast 13 Person Images,Cast 13 Person Category,Cast 13 Person Character,Cast 13 Position,Cast 14 Person IMDB ID,Cast 14 Person TMDB ID,Cast 14 Person Name,Cast 14 Person Images,Cast 14 Person Category,Cast 14 Person Character,Cast 14 Position,Crew 1 Person IMDB ID,Crew 1 Person TMDB ID,Crew 1 Person Name,Crew 1 Person Images,Crew 1 Person Category,Crew 1 Person Job,Crew 1 Position,Crew 2 Person IMDB ID,Crew 2 Person TMDB ID,Crew 2 Person Name,Crew 2 Person Images,Crew 2 Person Category,Crew 2 Person Job,Crew 2 Position,Crew 3 Person IMDB ID,Crew 3 Person TMDB ID,Crew 3 Person Name,Crew 3 Person Images,Crew 3 Person Category,Crew 3 Person Job,Crew 3 Position,type,Episode Release Date,Episode Number,Description,production_code,season_number,show_id,Parent TV Show,Parent Season,Embed Episode URL,Episode Time Duration
,07/08/2018,Talk Show,tv_show_url,,,1,,Audio Candy,,,3,en,Audio Candy,,,Season 1,,,Season 1,Season 1,,,2018,,,,,,,,,,,,,,,,2019,,Talk Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_show,,,,,,,,,,
,,,,,,,,Waje Remakes ''Raise The Roof'' By Jazzman Olofin ft Adewale Ayuba ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,episode,13/09/2018,1,"On this episode of Accelerate TV’s Audio Candy, soulful singer, Waje, entertains us with a special rendition of her single 'In The Air'. On the other half of the show she performs the cover of the classic Jazzman Olofin’s song 'Raise The Roof'. Enjoy!",,1,,Audio Candy,Season 1,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/_Q0l4WzCfBg"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",0:06:30
,,,,,,,,Funbi Breathes Soul Into Dr. Alban's 'Carolina' ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,episode,20/09/2018,2,"On this episode of Accelerate TV’s Audio Candy, Funbi, blesses us with his heavenly voice on his single 'Hallelujah', while on the other half of the show, he performs a cover of the classic Dr. Alban song 'Carolina'.",,1,,Audio Candy,Season 1,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/aacBX0luvNo"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",0:13:59
,,,,,,,,Tomi Thomas goes vintage for 'Love Me Jeje' by Seyi Sodimu ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,episode,27/09/2018,3,"On this episode of Accelerate TV’s Audio Candy, multi-talented music star, Tomi Thomas, renders the acoustic version of his  single 'Platinum God' off his 'Black Couch Vol.1'album. On the other half of the show he does justice to Seyi Sodimu's classic 'Love Me Jeje'. Enjoy!",,1,,Audio Candy,Season 1,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/8sC4mYvtYsA"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",0:16:20
,,,,,,,,Show Dem Camp raps circles around 'How We Do' By The Game & 50 Cent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,episode,4/10/2018,4, Tomi Thomas goes vintage for 'Love Me Jeje' by Seyi Sodimu,,1,,Audio Candy,Season 1,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/VlXJ3BiXnj8"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",0:14:05
,,,,,,,,Ajebutter22 Puts The Midas Touch On Styl-Plus' 'Olufunmi' ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,episode,11/10/2018,5,"Ajebutter drops a smooth performance of his song ""Dollar Ti Won"" and talks to Ikon about his latest project ""What Happens in Lagos"". On the flip side, he puts the midas touch on Styl-Pus' ""Olufunmi"". P.S What does the 22 in his name stand for? Watch to find out.",,1,,Audio Candy,Season 1,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/PzFf7pL2sXg"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",0:14:18
,,,,,,,,Ladipoe Comes Correct On Trybesmen 'Shake Bodi' ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,episode,18/10/2018,6,"Mavin Records, Ladipoe, performs his single 'Man Already' and on the other half of the show he puts up an impressive Trybesmen 'Shake Bodi' cover",,1,,Audio Candy,Season 1,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/xS7AkAWd2eI"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",0:14:50
,,,,,,,,Seyi Shay Shines Bright On Rihanna's 'Diamonds' ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,episode,25/10/2018,7,"The beautiful singer, Seyi Shay takes us down memory lane with a powerful cover of Rihanna's 'Diamonds' song, while also sharing a gift of her very own 'Bia'.",,1,,Audio Candy,Season 1,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/wIJJMzpQcFM"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",0:15:14
,,,,,,,,Terry Apala Covers Sisqo's 'Got To Get It' ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,episode,1/11/2018,8,"This time, Ikon, hosts Apala Hip-Hop pioneer, Terry Apala to a juicy interview amidst his special rendition of his hit song 'Feel Me' and covers 'Got To Get It' by Sisqo",,1,,Audio Candy,Season 1,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/qEhKTs7DNcM"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",0:13:22
,,,,,,,,Issac Geralds Delivers A Brilliant Cover Of 'Billie Jean' By Michael Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,episode,8/11/2018,9,"On this week's episode, we have Issac Geralds doing a 'Billy Jean' cover and also performing his hit single 'Fall In Love''",,1,,Audio Candy,Season 1,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/vnwlHIGMp2k"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",0:15:03
,,,,,,,,Nonso Amadi Breathes Life Into His Hit Single 'Tonight',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,episode,15/11/2018,10,"New kid on the block, Nonso Amadi is Ikon's guest on this week's episode of Audio Candy and he performs his hit single 'Tonight'. Check out his live performance.",,1,,Audio Candy,Season 1,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/sG2lYGlbCyA"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",0:14:10
